sku,product_name,category,brand,size,color,price_mrp,price_offer,stock_qty,last_updated
VM-10090,CasaValue Doormat,Home & Kitchen,CasaValue,Std,Red,188,159,280,2026-07-01
VM-10091,PlayPals Ethnic Kurta Set,Kids Wear,PlayPals,4-5Y,Mustard,638,519,191,2026-07-18
VM-10092,WalkNest Slippers,Footwear,WalkNest,7,Olive,318,259,0,2026-07-11
VM-10093,StyleDock Watch Analog,Accessories,StyleDock,Free,Brown,668,339,278,2026-07-11
VM-10094,UrbanEdge Hooded Sweatshirt,Mens Wear,UrbanEdge,S,Teal,688,559,59,2026-07-09
VM-10095,PlayPals Track Suit,Kids Wear,PlayPals,2-3Y,Brown,898,629,215,2026-07-21
VM-10096,TrendKart Watch Analog,Accessories,TrendKart,Free,Navy,758,539,67,2026-07-04
VM-10097,StyleDock Wallet,Accessories,StyleDock,Free,Maroon,218,109,49,2026-07-12
VM-10098,TinyTribe Jeans,Kids Wear,TinyTribe,10-11Y,Beige,568,349,0,2026-07-20
VM-10099,WalkNest Flip Flops,Footwear,WalkNest,7,Red,248,179,0,2026-07-15
VM-10100,TinyTribe Party Dress,Kids Wear,TinyTribe,8-9Y,Navy,898,629,374,2026-07-15
VM-10101,JuniorJoy School Uniform Shirt,Kids Wear,JuniorJoy,2-3Y,Mustard,258,209,204,2026-07-10
VM-10102,TrendKart Sunglasses,Accessories,TrendKart,Free,Brown,208,109,275,2026-07-08
VM-10103,HomeNest Water Bottle 1L,Home & Kitchen,HomeNest,Std,Olive,148,79,179,2026-07-02
VM-10104,CasaValue Water Bottle 1L,Home & Kitchen,CasaValue,Std,Red,198,139,14,2026-07-05
VM-10105,CasaValue Water Bottle 1L,Home & Kitchen,CasaValue,Std,Sky Blue,188,159,0,2026-07-15
VM-10106,FlexFit Casual Shirt,Mens Wear,FlexFit,XXL,Brown,638,319,28,2026-07-18
VM-10107,RoyalThread Hooded Sweatshirt,Mens Wear,RoyalThread,XXL,Sky Blue,988,699,366,2026-07-16
VM-10108,RoyalThread Bermuda Shorts,Mens Wear,RoyalThread,S,Beige,498,349,14,2026-07-02
VM-10109,DailyKart Slim Fit Jeans,Mens Wear,DailyKart,S,Grey,908,549,253,2026-07-18
VM-10110,WalkNest Sandals,Footwear,WalkNest,9,Grey,648,519,37,2026-07-07
VM-10111,StrideMax Slippers,Footwear,StrideMax,6,Green,348,249,351,2026-07-02
VM-10112,StrideMax Formal Shoes,Footwear,StrideMax,9,Grey,718,439,0,2026-07-11
VM-10113,MissTrend Leggings,Womens Wear,MissTrend,XXL,Navy,218,139,8,2026-07-20
VM-10114,FlexFit Slim Fit Jeans,Mens Wear,FlexFit,XXL,Red,928,559,0,2026-07-05
VM-10115,FlexFit Cargo Pants,Mens Wear,FlexFit,S,Yellow,778,549,85,2026-07-17
VM-10116,UrbanEdge Vest Pack of 3,Mens Wear,UrbanEdge,XL,Mustard,268,139,278,2026-07-20
VM-10117,RoyalThread Vest Pack of 3,Mens Wear,RoyalThread,S,Teal,168,139,0,2026-07-16
VM-10118,HomeNest Curtain Set,Home & Kitchen,HomeNest,Std,Red,798,559,326,2026-07-10
VM-10119,StrideMax School Shoes,Footwear,StrideMax,10,Grey,768,469,252,2026-07-14
VM-10120,JuniorJoy Sweater,Kids Wear,JuniorJoy,2-3Y,Purple,508,409,361,2026-07-12
VM-10121,DailyKart Winter Shrug,Womens Wear,DailyKart,S,Navy,938,469,0,2026-07-12
VM-10122,FloraBelle Dupatta,Womens Wear,FloraBelle,S,Yellow,238,169,0,2026-07-10
VM-10123,KitchQueen Storage Box Set,Home & Kitchen,KitchQueen,Std,Grey,348,279,76,2026-07-18
VM-10124,JuniorJoy Frock,Kids Wear,JuniorJoy,8-9Y,Beige,608,309,357,2026-07-01
VM-10125,SilkRoute Saree Georgette,Womens Wear,SilkRoute,L,Yellow,508,309,310,2026-07-03
VM-10126,FloraBelle Salwar Suit Set,Womens Wear,FloraBelle,XXL,Navy,978,789,253,2026-07-06
VM-10127,PlayPals Ethnic Kurta Set,Kids Wear,PlayPals,10-11Y,Yellow,738,369,2,2026-07-20
VM-10128,UrbanEdge Winter Jacket,Mens Wear,UrbanEdge,XL,Sky Blue,1988,1599,247,2026-07-09
VM-10129,FloraBelle Dupatta,Womens Wear,FloraBelle,XL,Green,138,99,270,2026-07-10
VM-10130,DailyKart Formal Shirt,Mens Wear,DailyKart,S,White,768,539,91,2026-07-10
VM-10131,TinyTribe Frock,Kids Wear,TinyTribe,8-9Y,Mustard,368,229,293,2026-07-17
VM-10132,HomeNest Water Bottle 1L,Home & Kitchen,HomeNest,Std,Brown,238,119,60,2026-07-19
VM-10133,SprintZa School Shoes,Footwear,SprintZa,8,Purple,378,309,1,2026-07-20
VM-10134,StrideMax Bellies,Footwear,StrideMax,6,Purple,408,329,226,2026-07-03
VM-10135,SprintZa Formal Shoes,Footwear,SprintZa,7,Yellow,1028,619,0,2026-07-17
VM-10136,KitchQueen Towel Set,Home & Kitchen,KitchQueen,Std,Green,358,179,5,2026-07-06
VM-10137,CasaValue Curtain Set,Home & Kitchen,CasaValue,Std,Navy,1008,809,309,2026-07-15
VM-10138,StyleDock Handbag,Accessories,StyleDock,Free,Red,538,439,344,2026-07-09
VM-10139,KitchQueen Bedsheet Double,Home & Kitchen,KitchQueen,Std,Navy,648,519,50,2026-07-10
VM-10140,UrbanEdge Winter Jacket,Mens Wear,UrbanEdge,XL,Brown,2388,1199,15,2026-07-11
VM-10141,CasaValue Casserole Set,Home & Kitchen,CasaValue,Std,Red,1028,519,0,2026-07-17
VM-10142,TrendKart Belt,Accessories,TrendKart,Free,Beige,298,179,211,2026-07-13
VM-10143,SprintZa Bellies,Footwear,SprintZa,8,White,298,209,306,2026-07-10
VM-10144,TinyTribe Track Suit,Kids Wear,TinyTribe,2-3Y,Yellow,728,439,179,2026-07-05
VM-10145,KitchQueen Pillow Pack of 2,Home & Kitchen,KitchQueen,Std,Brown,338,169,281,2026-07-01
VM-10146,TinyTribe Ethnic Kurta Set,Kids Wear,TinyTribe,6-7Y,Olive,848,679,7,2026-07-05
VM-10147,UrbanEdge Slim Fit Jeans,Mens Wear,UrbanEdge,L,White,1398,839,20,2026-07-06
VM-10148,MissTrend Salwar Suit Set,Womens Wear,MissTrend,S,Teal,1228,859,248,2026-07-10
VM-10149,TrendKart Watch Analog,Accessories,TrendKart,Free,Beige,868,699,209,2026-07-15
VM-10150,WalkNest Formal Shoes,Footwear,WalkNest,7,Purple,858,519,47,2026-07-12
VM-10151,CasaValue Pillow Pack of 2,Home & Kitchen,CasaValue,Std,Grey,308,189,251,2026-07-05
VM-10152,StrideMax Casual Sneakers,Footwear,StrideMax,8,Teal,488,399,223,2026-07-12
VM-10153,FloraBelle Maxi Dress,Womens Wear,FloraBelle,M,Green,588,419,386,2026-07-05
VM-10154,SilkRoute Printed Kurti,Womens Wear,SilkRoute,M,Mustard,738,599,0,2026-07-03
VM-10155,StyleDock Hair Accessories Set,Accessories,StyleDock,Free,Grey,118,89,45,2026-07-14
VM-10156,TrendKart Watch Analog,Accessories,TrendKart,Free,Grey,738,369,315,2026-07-05
VM-10157,TinyTribe Jeans,Kids Wear,TinyTribe,4-5Y,Green,668,539,0,2026-07-17
VM-10158,PlayPals Frock,Kids Wear,PlayPals,8-9Y,Black,558,279,212,2026-07-01
VM-10159,JuniorJoy Frock,Kids Wear,JuniorJoy,2-3Y,Beige,628,439,43,2026-07-18
VM-10160,PlayPals Shorts Set,Kids Wear,PlayPals,8-9Y,Teal,318,199,387,2026-07-02
VM-10161,TinyTribe School Uniform Shirt,Kids Wear,TinyTribe,2-3Y,Olive,288,209,224,2026-07-16
VM-10162,PlayPals T-Shirt Pack of 2,Kids Wear,PlayPals,6-7Y,Olive,318,159,0,2026-07-12
VM-10163,SprintZa School Shoes,Footwear,SprintZa,9,Teal,518,319,375,2026-07-12
VM-10164,HomeNest Storage Box Set,Home & Kitchen,HomeNest,Std,Purple,528,319,171,2026-07-04
VM-10165,RoyalThread Cargo Pants,Mens Wear,RoyalThread,XL,Pink,1098,659,200,2026-07-02
VM-10166,StyleDock Handbag,Accessories,StyleDock,Free,Sky Blue,548,439,12,2026-07-01
VM-10167,DailyKart Nightwear Set,Womens Wear,DailyKart,M,White,348,209,206,2026-07-19
VM-10168,FlexFit Bermuda Shorts,Mens Wear,FlexFit,L,Teal,438,359,3,2026-07-17
VM-10169,JuniorJoy Jeans,Kids Wear,JuniorJoy,4-5Y,Sky Blue,378,189,276,2026-07-13
VM-10170,KitchQueen Pillow Pack of 2,Home & Kitchen,KitchQueen,Std,Sky Blue,388,279,0,2026-07-05
VM-10171,FlexFit Hooded Sweatshirt,Mens Wear,FlexFit,S,Teal,908,639,302,2026-07-10
VM-10172,PlayPals Shorts Set,Kids Wear,PlayPals,6-7Y,Maroon,528,319,4,2026-07-08
VM-10173,WalkNest Sports Shoes,Footwear,WalkNest,9,Green,1208,729,0,2026-07-10
VM-10174,SprintZa Slippers,Footwear,SprintZa,9,Purple,318,159,0,2026-07-15
VM-10175,StrideMax Bellies,Footwear,StrideMax,7,Maroon,528,269,4,2026-07-10
VM-10176,SilkRoute Leggings,Womens Wear,SilkRoute,L,Beige,318,229,3,2026-07-21
VM-10177,HomeNest Storage Box Set,Home & Kitchen,HomeNest,Std,Pink,578,349,19,2026-07-06
VM-10178,TrendKart Handbag,Accessories,TrendKart,Free,Black,508,359,313,2026-07-20
VM-10179,StyleDock Backpack,Accessories,StyleDock,Free,Pink,708,429,173,2026-07-03
VM-10180,TrendKart Backpack,Accessories,TrendKart,Free,Teal,708,569,195,2026-07-05
VM-10181,PlayPals Romper,Kids Wear,PlayPals,8-9Y,Green,248,179,0,2026-07-11
VM-10182,FloraBelle Denim Jeans,Womens Wear,FloraBelle,XL,Sky Blue,918,559,46,2026-07-13
VM-10183,HomeNest Lunch Box,Home & Kitchen,HomeNest,Std,Maroon,338,239,102,2026-07-17
VM-10184,WalkNest Slippers,Footwear,WalkNest,6,Mustard,158,129,255,2026-07-07
VM-10185,HomeNest Water Bottle 1L,Home & Kitchen,HomeNest,Std,White,258,209,0,2026-07-04
VM-10186,WalkNest Sandals,Footwear,WalkNest,9,Green,488,249,47,2026-07-18
VM-10187,SilkRoute Casual Top,Womens Wear,SilkRoute,XL,Navy,528,429,164,2026-07-20
VM-10188,UrbanEdge Casual Shirt,Mens Wear,UrbanEdge,L,Brown,908,639,18,2026-07-07
VM-10189,KitchQueen Doormat,Home & Kitchen,KitchQueen,Std,White,118,79,263,2026-07-15
VM-10190,MissTrend Nightwear Set,Womens Wear,MissTrend,XXL,Yellow,508,309,336,2026-07-19
VM-10191,PlayPals Party Dress,Kids Wear,PlayPals,10-11Y,Mustard,838,679,209,2026-07-04
VM-10192,SprintZa Formal Shoes,Footwear,SprintZa,6,Beige,1348,1079,289,2026-07-13
VM-10193,MissTrend Winter Shrug,Womens Wear,MissTrend,XXL,White,1008,509,30,2026-07-11
VM-10194,WalkNest Sandals,Footwear,WalkNest,9,Olive,578,469,2,2026-07-17
VM-10195,SilkRoute Dupatta,Womens Wear,SilkRoute,XXL,Mustard,228,159,256,2026-07-11
VM-10196,SilkRoute Palazzo Pants,Womens Wear,SilkRoute,M,Pink,448,319,374,2026-07-11
VM-10197,SprintZa Bellies,Footwear,SprintZa,8,Sky Blue,328,269,13,2026-07-10
VM-10198,UrbanEdge Slim Fit Jeans,Mens Wear,UrbanEdge,XL,Green,1438,1009,16,2026-07-18
VM-10199,PlayPals Party Dress,Kids Wear,PlayPals,4-5Y,Sky Blue,588,359,46,2026-07-08
VM-10200,TrendKart Cap,Accessories,TrendKart,Free,Grey,208,169,4,2026-07-01
VM-10201,KitchQueen Curtain Set,Home & Kitchen,KitchQueen,Std,Mustard,818,499,185,2026-07-21
VM-10202,FlexFit Polo T-Shirt,Mens Wear,FlexFit,M,White,568,349,224,2026-07-06
VM-10203,TrendKart Sunglasses,Accessories,TrendKart,Free,Black,268,189,253,2026-07-17
VM-10204,SprintZa Sandals,Footwear,SprintZa,8,Teal,378,189,104,2026-07-21
VM-10205,TinyTribe Shorts Set,Kids Wear,TinyTribe,6-7Y,Yellow,328,199,348,2026-07-14
VM-10206,DailyKart Leggings,Womens Wear,DailyKart,M,Yellow,158,119,141,2026-07-09
VM-10207,PlayPals Ethnic Kurta Set,Kids Wear,PlayPals,6-7Y,Black,768,539,0,2026-07-15
VM-10208,JuniorJoy Shorts Set,Kids Wear,JuniorJoy,2-3Y,Pink,388,279,134,2026-07-05
VM-10209,StyleDock Hair Accessories Set,Accessories,StyleDock,Free,Olive,188,99,249,2026-07-12
VM-10210,UrbanEdge Bermuda Shorts,Mens Wear,UrbanEdge,XXL,White,528,319,19,2026-07-06
VM-10211,JuniorJoy Party Dress,Kids Wear,JuniorJoy,4-5Y,Grey,1198,959,282,2026-07-02
VM-10212,SprintZa Sandals,Footwear,SprintZa,9,Purple,618,309,257,2026-07-01
VM-10213,StrideMax Formal Shoes,Footwear,StrideMax,10,Olive,698,349,0,2026-07-18
VM-10214,DailyKart Polo T-Shirt,Mens Wear,DailyKart,L,White,568,349,349,2026-07-12
VM-10215,WalkNest Slippers,Footwear,WalkNest,6,Brown,348,209,12,2026-07-18
VM-10216,SprintZa Sandals,Footwear,SprintZa,6,Beige,268,189,365,2026-07-14
VM-10217,HomeNest Lunch Box,Home & Kitchen,HomeNest,Std,Beige,268,169,0,2026-07-02
VM-10218,TrendKart Socks Pack of 3,Accessories,TrendKart,Free,Beige,128,69,38,2026-07-20
VM-10219,SprintZa Flip Flops,Footwear,SprintZa,6,Olive,148,109,395,2026-07-11
VM-10220,CasaValue Blanket Single,Home & Kitchen,CasaValue,Std,Yellow,838,509,134,2026-07-10
VM-10221,PlayPals T-Shirt Pack of 2,Kids Wear,PlayPals,8-9Y,Maroon,378,309,197,2026-07-17
VM-10222,JuniorJoy Jeans,Kids Wear,JuniorJoy,6-7Y,Red,548,329,263,2026-07-08
VM-10223,JuniorJoy Shorts Set,Kids Wear,JuniorJoy,10-11Y,White,468,379,18,2026-07-13
VM-10224,MissTrend Saree Georgette,Womens Wear,MissTrend,S,Yellow,1078,759,3,2026-07-02
VM-10225,PlayPals Jeans,Kids Wear,PlayPals,2-3Y,White,428,259,127,2026-07-10
VM-10226,FlexFit Formal Shirt,Mens Wear,FlexFit,XL,Grey,818,499,143,2026-07-11
VM-10227,JuniorJoy Jeans,Kids Wear,JuniorJoy,6-7Y,Green,468,329,275,2026-07-04
VM-10228,StyleDock Watch Analog,Accessories,StyleDock,Free,Olive,558,449,309,2026-07-05
VM-10229,DailyKart Slim Fit Jeans,Mens Wear,DailyKart,M,Pink,858,609,215,2026-07-08
VM-10230,WalkNest Bellies,Footwear,WalkNest,9,Mustard,548,329,12,2026-07-18
VM-10231,SprintZa Sandals,Footwear,SprintZa,10,White,278,139,24,2026-07-05
VM-10232,TrendKart Cap,Accessories,TrendKart,Free,Red,168,139,51,2026-07-21
VM-10233,StyleDock Watch Analog,Accessories,StyleDock,Free,Black,698,559,29,2026-07-09
VM-10234,FlexFit Polo T-Shirt,Mens Wear,FlexFit,M,Beige,698,489,157,2026-07-03
VM-10235,JuniorJoy Jeans,Kids Wear,JuniorJoy,4-5Y,Beige,498,249,68,2026-07-13
VM-10236,StrideMax Slippers,Footwear,StrideMax,7,Black,158,129,351,2026-07-19
VM-10237,UrbanEdge Kurta,Mens Wear,UrbanEdge,M,Beige,908,729,0,2026-07-09
VM-10238,CasaValue Blanket Single,Home & Kitchen,CasaValue,Std,White,858,429,7,2026-07-13
VM-10239,FlexFit Slim Fit Jeans,Mens Wear,FlexFit,XXL,Beige,1098,769,13,2026-07-03
VM-10240,HomeNest Water Bottle 1L,Home & Kitchen,HomeNest,Std,Grey,178,89,330,2026-07-20
VM-10241,StrideMax Bellies,Footwear,StrideMax,9,Sky Blue,568,349,304,2026-07-14
VM-10242,DailyKart Winter Shrug,Womens Wear,DailyKart,XXL,Navy,588,359,63,2026-07-05
VM-10243,SprintZa Sandals,Footwear,SprintZa,8,Brown,488,249,23,2026-07-15
VM-10244,TinyTribe Ethnic Kurta Set,Kids Wear,TinyTribe,2-3Y,Red,468,379,306,2026-07-17
VM-10245,StrideMax Casual Sneakers,Footwear,StrideMax,8,Navy,1158,579,327,2026-07-13
VM-10246,DailyKart Slim Fit Jeans,Mens Wear,DailyKart,S,Brown,1318,799,19,2026-07-13
VM-10247,SilkRoute Leggings,Womens Wear,SilkRoute,L,Pink,308,189,106,2026-07-09
VM-10248,WalkNest Formal Shoes,Footwear,WalkNest,8,Navy,928,559,325,2026-07-07
VM-10249,StrideMax Casual Sneakers,Footwear,StrideMax,6,Pink,958,679,215,2026-07-15
VM-10250,PlayPals Jeans,Kids Wear,PlayPals,6-7Y,Red,508,309,16,2026-07-13
VM-10251,PlayPals Ethnic Kurta Set,Kids Wear,PlayPals,10-11Y,Mustard,858,519,213,2026-07-13
VM-10252,PlayPals Frock,Kids Wear,PlayPals,10-11Y,Olive,598,359,34,2026-07-07
VM-10253,SprintZa Formal Shoes,Footwear,SprintZa,9,Navy,1468,1179,345,2026-07-08
VM-10254,PlayPals Shorts Set,Kids Wear,PlayPals,8-9Y,Purple,248,199,266,2026-07-13
VM-10255,CasaValue Doormat,Home & Kitchen,CasaValue,Std,Purple,218,109,148,2026-07-06
VM-10256,StyleDock Backpack,Accessories,StyleDock,Free,Yellow,468,239,153,2026-07-17
VM-10257,TrendKart Hair Accessories Set,Accessories,TrendKart,Free,Teal,148,119,374,2026-07-05
VM-10258,JuniorJoy T-Shirt Pack of 2,Kids Wear,JuniorJoy,6-7Y,Grey,338,169,4,2026-07-12
VM-10259,JuniorJoy Romper,Kids Wear,JuniorJoy,10-11Y,Olive,358,259,70,2026-07-15
VM-10260,JuniorJoy Frock,Kids Wear,JuniorJoy,2-3Y,White,268,189,4,2026-07-08
VM-10261,CasaValue Curtain Set,Home & Kitchen,CasaValue,Std,Maroon,758,609,139,2026-07-21
VM-10262,DailyKart Leggings,Womens Wear,DailyKart,S,Brown,388,239,324,2026-07-13
VM-10263,FlexFit Vest Pack of 3,Mens Wear,FlexFit,L,Olive,178,89,116,2026-07-11
VM-10264,CasaValue Water Bottle 1L,Home & Kitchen,CasaValue,Std,Brown,138,99,255,2026-07-06
VM-10265,TrendKart Sunglasses,Accessories,TrendKart,Free,Red,278,169,10,2026-07-12
VM-10266,StyleDock Belt,Accessories,StyleDock,Free,Purple,338,279,116,2026-07-21
